1	20210201003300	0.004	0.017	0.025	0.042	0.05	0.057	0.077	0.081	0.094	0.1
1	20210201003800	0.381	1.503	2.186	3.689	4.421	5.026	6.793	7.164	8.335	8.901
1	20210201004300	0.042	0.165	0.24	0.404	0.485	0.551	0.745	0.785	0.914	0.976
1	20210201004800	0.387	1.529	2.224	3.754	4.498	5.114	6.911	7.289	8.48	9.056
1	20210201005300	0.377	1.489	2.166	3.655	4.381	4.98	6.73	7.098	8.258	8.819
1	20210201005800	0.347	1.371	1.994	3.364	4.032	4.584	6.194	6.533	7.601	8.117
1	20210201010300	0.362	1.429	2.079	3.508	4.204	4.779	6.459	6.812	7.925	8.463
1	20210201010800	0.027	0.105	0.152	0.257	0.308	0.35	0.473	0.499	0.581	0.62
1	20210201011300	0.199	0.787	1.145	1.932	2.315	2.632	3.557	3.751	4.364	4.66
1	20210201011800	0.351	1.388	2.018	3.406	4.082	4.64	6.271	6.613	7.695	8.217
2	20210201003300	0.056	0.22	0.32	0.541	0.648	0.736	0.995	1.05	1.221	1.304
2	20210201003800	0.091	0.359	0.522	0.881	1.055	1.2	1.622	1.71	1.99	2.125
2	20210201004300	0.142	0.561	0.815	1.376	1.649	1.875	2.533	2.672	3.109	3.32
2	20210201004800	0.139	0.55	0.8	1.349	1.617	1.839	2.485	2.62	3.049	3.256
2	20210201005300	0.25	0.987	1.436	2.423	2.904	3.301	4.461	4.705	5.474	5.846
2	20210201005800	0.227	0.898	1.306	2.204	2.641	3.002	4.058	4.279	4.979	5.317
2	20210201010300	0.269	1.061	1.543	2.604	3.121	3.548	4.795	5.057	5.884	6.284
2	20210201010800	0.238	0.938	1.364	2.302	2.759	3.136	4.239	4.47	5.201	5.554
2	20210201011300	0.129	0.508	0.739	1.247	1.495	1.7	2.297	2.422	2.818	3.01
2	20210201011800	0.338	1.334	1.94	3.273	3.923	4.46	6.027	6.356	7.396	7.898
3	20210201003300	0.135	0.531	0.773	1.304	1.563	1.777	2.401	2.532	2.946	3.146
3	20210201003800	0.222	0.875	1.272	2.147	2.573	2.925	3.953	4.169	4.851	5.18
