1	20210201003300	0.214	0.011	0.733
1	20210201003800	0.231	0.976	0.824
1	20210201004300	0.219	0.107	0.586
1	20210201004800	0.216	0.993	0.313
1	20210201005300	0.08	0.967	0.266
1	20210201005800	0.715	0.89	0.71
1	20210201010300	0.884	0.928	0.744
1	20210201010800	0.817	0.068	0.422
1	20210201011300	0.088	0.511	0.352
1	20210201011800	0.693	0.901	0.73
2	20210201003300	0.015	0.143	0.767
2	20210201003800	0.231	0.233	0.6
2	20210201004300	0.349	0.364	0.809
2	20210201004800	0.199	0.357	0.308
2	20210201005300	0.684	0.641	0.745
2	20210201005800	0.431	0.583	0.249
2	20210201010300	0.501	0.689	0.617
2	20210201010800	0.754	0.609	0.535
2	20210201011300	0.145	0.33	0.513
2	20210201011800	0.392	0.866	0.503
3	20210201003300	0.833	0.345	0.759
3	20210201003800	0.379	0.568	0.346
3	20210201004300	0.859	0.835	0.426
3	20210201004800	0.961	0.838	0.671
3	20210201005300	0.775	0.901	0.641
3	20210201005800	0.982	0.255	0.228
3	20210201010300	0.073	0.64	0.415
3	20210201010800	0.789	0.115	0.767
3	20210201011300	0.308	0.556	0.004
3	20210201011800	0.769	0.116	0.978
4	20210201003300	0.416	0.203	0.383
4	20210201003800	0.858	0.527	0.68
4	20210201004300	0.22	0.196	0.983
4	20210201004800	0.37	0.011	0.493
4	20210201005300	0.125	0.318	0.333
4	20210201005800	0.39	0.865	0.563
4	20210201010300	0.523	0.931	0.425
4	20210201010800	0.537	0.737	0.535
4	20210201011300	0.729	0.324	0.617
4	20210201011800	0.205	0.418	0.032
5	20210201003300	0.505	0.576	0.99
5	20210201003800	0.863	0.608	0.688
5	20210201004300	0.861	0.25	0.341
5	20210201004800	0.558	0.062	0.54
5	20210201005300	0	0.902	0.788
5	20210201005800	0.961	0.206	0.188
5	20210201010300	0.22	0.629	0.685
5	20210201010800	0.043	0.065	0.029
5	20210201011300	0.657	0.908	0.274
5	20210201011800	0.194	0.799	0.146
6	20210201003300	0.489	0.315	0.436
6	20210201003800	0.604	0.518	0.348
6	20210201004300	0.332	0.889	0.011
6	20210201004800	0.904	0.388	0.537
6	20210201005300	0.148	0.976	0.573
6	20210201005800	0.742	0.288	0.211
6	20210201010300	0.115	0.403	0.5
6	20210201010800	0.27	0.475	0.623
6	20210201011300	0.354	0.863	0.85
6	20210201011800	0.493	0.202	0.969
7	20210201003300	0.324	0.362	0.97
7	20210201003800	0.744	0.23	0.261
7	20210201004300	0.405	0.337	0.011
7	20210201004800	0.444	0.213	0.925
7	20210201005300	0	0.971	0.828
7	20210201005800	0.547	0.867	0.593
7	20210201010300	0.466	0.813	0.39
7	20210201010800	0.502	0.485	0.526
7	20210201011300	0.772	0.179	0.22
7	20210201011800	0.556	0.895	0.602
8	20210201003300	0.141	0.75	0.713
8	20210201003800	0.547	0.659	0.697
8	20210201004300	0.391	0.241	0.026
8	20210201004800	0.941	0.288	0.093
8	20210201005300	0.696	0.82	0.223
8	20210201005800	0.415	0.521	0.628
8	20210201010300	0.678	0.224	0.74
8	20210201010800	0.181	0.178	0.117
8	20210201011300	0.408	0.193	0.667
8	20210201011800	0.379	0.552	0.58
9	20210201003300	0.758	0.646	0.781
9	20210201003800	0.496	0.868	0.49
9	20210201004300	0.672	0.167	0.515
9	20210201004800	0.55	0.6	0.232
9	20210201005300	0.433	0.433	0.348
9	20210201005800	0.975	0.349	0.86
9	20210201010300	0.275	0.054	0.946
9	20210201010800	0.174	0.037	0.693
9	20210201011300	0.752	0.494	0.218
9	20210201011800	0.472	0.949	0.961
10	20210201003300	0.569	0.502	0.398
10	20210201003800	0.072	0.655	0.801
10	20210201004300	0.541	0.871	0.228
10	20210201004800	0.888	0.75	0.049
10	20210201005300	0.904	0.722	0.506
10	20210201005800	0.775	0.422	0.256
10	20210201010300	0.627	0.584	0.134
10	20210201010800	0.186	0.838	0.732
10	20210201011300	0.631	0.456	0.064
10	20210201011800	0.651	0.686	0.248

