231	20210122084400	0.909	0.909	0.909	0.909	0.909	0.909	0.909	0.909	0.909	0.909
231	20210122084900	0.623	0.623	0.623	0.623	0.623	0.623	0.623	0.623	0.623	0.623
231	20210122085400	0.773	0.773	0.773	0.773	0.773	0.773	0.773	0.773	0.773	0.773
231	20210122085900	0.958	0.958	0.958	0.958	0.958	0.958	0.958	0.958	0.958	0.958
231	20210122090400	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003
231	20210122090900	0.237	0.237	0.237	0.237	0.237	0.237	0.237	0.237	0.237	0.237
231	20210122091400	0.702	0.702	0.702	0.702	0.702	0.702	0.702	0.702	0.702	0.702
231	20210122091900	0.021	0.021	0.021	0.021	0.021	0.021	0.021	0.021	0.021	0.021
231	20210122092400	0.314	0.314	0.314	0.314	0.314	0.314	0.314	0.314	0.314	0.314
231	20210122092900	0.592	0.592	0.592	0.592	0.592	0.592	0.592	0.592	0.592	0.592
231	20210122093400	0.519	0.519	0.519	0.519	0.519	0.519	0.519	0.519	0.519	0.519
231	20210122093900	0.078	0.078	0.078	0.078	0.078	0.078	0.078	0.078	0.078	0.078
231	20210122094400	0.329	0.329	0.329	0.329	0.329	0.329	0.329	0.329	0.329	0.329
231	20210122094900	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925	0.925
231	20210122095400	0.755	0.755	0.755	0.755	0.755	0.755	0.755	0.755	0.755	0.755
231	20210122095900	0.205	0.205	0.205	0.205	0.205	0.205	0.205	0.205	0.205	0.205
231	20210122100400	0.993	0.993	0.993	0.993	0.993	0.993	0.993	0.993	0.993	0.993
231	20210122100900	0.156	0.156	0.156	0.156	0.156	0.156	0.156	0.156	0.156	0.156
231	20210122101400	0.796	0.796	0.796	0.796	0.796	0.796	0.796	0.796	0.796	0.796
231	20210122101900	0.638	0.638	0.638	0.638	0.638	0.638	0.638	0.638	0.638	0.638
231	20210122102400	0.626	0.626	0.626	0.626	0.626	0.626	0.626	0.626	0.626	0.626
231	20210122102900	0.515	0.515	0.515	0.515	0.515	0.515	0.515	0.515	0.515	0.515
231	20210122103400	0.727	0.727	0.727	0.727	0.727	0.727	0.727	0.727	0.727	0.727
231	20210122103900	0.414	0.414	0.414	0.414	0.414	0.414	0.414	0.414	0.414	0.414
231	20210122104400	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92	0.92
231	20210122104900	0.488	0.488	0.488	0.488	0.488	0.488	0.488	0.488	0.488	0.488
231	20210122105400	0.031	0.031	0.031	0.031	0.031	0.031	0.031	0.031	0.031	0.031
231	20210122105900	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55
231	20210122110400	0.055	0.055	0.055	0.055	0.055	0.055	0.055	0.055	0.055	0.055
