1	20200704154400	0.101	0.722	0.429
1	20200704154900	0.82	0.793	0.187
1	20200704155400	0.084	0.264	0.848
1	20200704155900	0.719	0.849	0.839
1	20200704160400	0.437	0.89	0.265
1	20200704160900	0.976	0.655	0.589
1	20200704161400	0.593	0.216	0.033
1	20200704161900	0.74	0.565	0.485
1	20200704162400	0.84	0.796	0.298
1	20200704162900	0.37	0.238	0.201
2	20200704154400	0.049	0.742	0.88
2	20200704154900	0.917	0.767	0.51
2	20200704155400	0.967	0.337	0.828
2	20200704155900	0.88	0.872	0.584
2	20200704160400	0.376	0.031	0.463
2	20200704160900	0.373	0.334	0.173
2	20200704161400	0.994	0.011	0.543
2	20200704161900	0.699	0.567	0.49
2	20200704162400	0.569	0.598	0.992
2	20200704162900	0.856	0.067	0.475
3	20200704154400	0.123	0.326	0.885
3	20200704154900	0.811	0.551	0.774
3	20200704155400	0.194	0.186	0.457
3	20200704155900	0.497	0.114	0.715
3	20200704160400	0.785	0.165	0.916
3	20200704160900	0.414	0.714	0.455
3	20200704161400	0.627	0.275	0.834
3	20200704161900	0.036	0.239	0.833
3	20200704162400	0.979	0.156	0.962
3	20200704162900	0.696	0.111	0.016
4	20200704154400	0.775	0.918	0.929
4	20200704154900	0.528	0.555	0.518
4	20200704155400	0.208	0.277	0.233
4	20200704155900	0.835	0.979	0.848
4	20200704160400	0.573	0.659	0.512
4	20200704160900	0.984	0.571	0.29
4	20200704161400	0.514	0.176	0.756
4	20200704161900	0.313	0.421	0.757
4	20200704162400	0.072	0.685	0.734
4	20200704162900	0.884	0.025	0.274
5	20200704154400	0.055	0.414	0.064
5	20200704154900	0.536	0.383	0.55
5	20200704155400	0.672	0.548	0.098
5	20200704155900	0.751	0.734	0.704
5	20200704160400	0.054	0.265	0.896
5	20200704160900	0.525	0.896	0.35
5	20200704161400	0.606	0.916	0.16
5	20200704161900	0.527	0.872	0.895
5	20200704162400	0.504	0.054	0.048
5	20200704162900	0.749	0.468	0.795
6	20200704154400	0.612	0.756	0.052
6	20200704154900	0.198	0.425	0.666
6	20200704155400	0.897	0.303	0.144
6	20200704155900	0.69	0.927	0.209
6	20200704160400	0.308	0.112	0.862
6	20200704160900	0.336	0.979	0.892
6	20200704161400	1	0.554	0.417
6	20200704161900	0.83	0.934	0.998
6	20200704162400	0.696	0.76	0.527
6	20200704162900	0.904	0.431	0.288
7	20200704154400	0.569	0.809	0.642
7	20200704154900	0.635	0.73	0.984
7	20200704155400	0.416	0.835	0.95
7	20200704155900	0.606	0.508	0.154
7	20200704160400	0.786	0.544	0.681
7	20200704160900	0.273	0.26	0.776
7	20200704161400	0.829	0.766	0.835
7	20200704161900	0.849	0.638	0.157
7	20200704162400	0.481	0.723	0.586
7	20200704162900	0.764	0.957	0.304
8	20200704154400	0.623	0.699	0.464
8	20200704154900	0.024	0.968	0.689
8	20200704155400	0.326	0.988	0.097
8	20200704155900	0.274	0.036	0.317
8	20200704160400	0.408	0.306	0.838
8	20200704160900	0.836	0.761	0.03
8	20200704161400	0.79	0.454	0.181
8	20200704161900	0.194	0.404	0.92
8	20200704162400	0.829	0.994	0.68
8	20200704162900	0.174	0.233	0.317
9	20200704154400	0.298	0.564	0.988
9	20200704154900	0.851	0.493	0.874
9	20200704155400	0.369	0.36	0.035
9	20200704155900	0.538	0.689	0.865
9	20200704160400	0.559	0.224	0.393
9	20200704160900	0.071	0.094	0.968
9	20200704161400	0.775	0.166	0.856
9	20200704161900	0.49	0.022	0.333
9	20200704162400	0.865	0.63	0.172
9	20200704162900	0.12	0.931	0.944
10	20200704154400	0.851	0.669	0.1
10	20200704154900	0.677	0.802	0.1
10	20200704155400	0.406	0.632	0.194
10	20200704155900	0.221	0.639	0.245
10	20200704160400	0.266	0.371	0.972
10	20200704160900	0.621	0.994	0.317
10	20200704161400	0.23	0.392	0.398
10	20200704161900	0.842	0.118	0.85
10	20200704162400	0.368	0.629	0.214
10	20200704162900	0.849	0.041	0.297
